chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene	Feature_type	Feature_type2	Feature_type3	Feature_type4	Feature_type5	Feature_type6	Feature_type7	Feature_type8	Feature_type9	Feature_type10	Feature_type11
1	106501712	LOC106501712						biological-region	non_allelic_homologous										
1	106501713	LOC106501713						biological-region	nucleotide_motif	meiotic	non_allelic_homologous								
1	106627981	LOC106627981						biological-region	non_allelic_homologous										
1	106627982	LOC106627982						biological-region	non_allelic_homologous										
1	106783496	LOC106783496						biological-region	enhancer										
1	106783502	LOC106783502						biological-region	enhancer										
1	106783575	LOC106783575						biological-region	enhancer										
1	107126361	CD2-LCR						biological-region	DNase_I_hypersensitive_site	enhancer	locus_control_region	transcriptional_cis_regulatory_region							
1	107161156	LOC107161156						biological-region	DNase_I_hypersensitive_site	promoter	silencer	transcriptional_cis_regulatory_region							
1	107325941	LOC107325941						biological-region	non_allelic_homologous										
1	107325942	LOC107325942						biological-region	non_allelic_homologous										
1	107457601	LOC107457601						biological-region	nucleotide_motif	meiotic									
1	107546745	LOC107546745						biological-region	nucleotide_motif	sequence_alteration	meiotic								
1	107546746	LOC107546746						biological-region	sequence_feature	meiotic									
1	107546747	LOC107546747						biological-region	nucleotide_motif	meiotic									
1	107546778	LOC107546778						biological-region	nucleotide_motif	meiotic									
1	107546780	LOC107546780						biological-region	meiotic										
1	107548103	LOC107548103						biological-region	nucleotide_motif	repeat_instability_region	sequence_alteration	meiotic							
1	107548112	LOC107548112						biological-region	conserved_region	sequence_comparison	enhancer	promoter	response_element	silencer	transcriptional_cis_regulatory_region				
1	107880064	LOC107880064						biological-region	enhancer	promoter	response_element	silencer	transcriptional_cis_regulatory_region						
1	107988045	LOC107988045						biological-region	enhancer										
1	107988049	LOC107988049						biological-region	enhancer										
1	107992392	LOC107992392						biological-region	enhancer										
1	108004528	LOC108004528						biological-region	enhancer										
1	108175348	LOC108175348						biological-region	conserved_region	enhancer									
1	108251792	LOC108251792						biological-region	CAGE_cluster	enhancer									
1	108254669	LOC108254669						biological-region	CAGE_cluster	enhancer									
1	108254671	LOC108254671						biological-region	CAGE_cluster	enhancer									
1	108254679	LOC108254679						biological-region	CAGE_cluster	enhancer									
1	108254694	LOC108254694						biological-region	promoter										
1	108281140	LOC108281140						biological-region	CAGE_cluster	enhancer									
1	108281163	LOC108281163						biological-region	CAGE_cluster	enhancer									
1	108281185	LOC108281185						biological-region	DNase_I_hypersensitive_site	enhancer									
1	108281186	LOC108281186						biological-region	DNase_I_hypersensitive_site	enhancer									
1	108281189	LOC108281189						biological-region	enhancer	epigenetically_modified_region									
1	108281190	LOC108281190						biological-region	enhancer	epigenetically_modified_region									
1	108318669	LOC108318669						biological-region	enhancer	epigenetically_modified_region									
1	109029529	LOC109029529						biological-region	enhancer	promoter									
1	109029530	LOC109029530						biological-region	enhancer	promoter									
1	109851610	LOC109851610						biological-region	enhancer										
1	110013312	LOC110013312						biological-region	TATA_box	enhancer	promoter	response_element	transcriptional_cis_regulatory_region						
1	110120599	LOC110120599						biological-region	enhancer										
1	110120600	LOC110120600						biological-region	enhancer										
1	110120602	LOC110120602						biological-region	enhancer										
1	110120607	LOC110120607						biological-region	enhancer										
1	110120609	LOC110120609						biological-region	enhancer										
1	110120610	LOC110120610						biological-region	enhancer										
1	110120621	LOC110120621						biological-region	enhancer										
1	110120623	LOC110120623						biological-region	enhancer										
1	110120642	LOC110120642						biological-region	enhancer										
1	110120644	LOC110120644						biological-region	enhancer										
1	110120648	LOC110120648						biological-region	enhancer										
1	110120659	LOC110120659						biological-region	enhancer										
1	110120664	LOC110120664						biological-region	enhancer										
1	110120666	LOC110120666						biological-region	enhancer										
1	110120672	LOC110120672						biological-region	enhancer										
1	110120683	LOC110120683						biological-region	enhancer										
1	110120698	LOC110120698						biological-region	enhancer										
1	110120716	LOC110120716						biological-region	enhancer										
1	110120729	LOC110120729						biological-region	enhancer										
1	110120739	LOC110120739						biological-region	enhancer										
1	110120751	LOC110120751						biological-region	enhancer										
1	110120762	LOC110120762						biological-region	enhancer										
