chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID
2	3231 : 3230	HOXD1 : HOXD@		5132 : 5131			
2	3232 : 3230	HOXD3 : HOXD@		5137 : 5131			
2	3233 : 3230	HOXD4 : HOXD@		5138 : 5131			
2	3234 : 3230	HOXD8 : HOXD@		5139 : 5131			
2	3235 : 3230	HOXD9 : HOXD@		5140 : 5131			
2	3236 : 3230	HOXD10 : HOXD@		5133 : 5131			
2	3237 : 3230	HOXD11 : HOXD@		5134 : 5131			
2	3238 : 3230	HOXD12 : HOXD@		5135 : 5131			
2	3239 : 3230	HOXD13 : HOXD@		5136 : 5131			
14	3493 : 3492	IGHA1 : IGH		5478 : 5477	146900 : 146910		
14	3494 : 3492	IGHA2 : IGH		5479 : 5477	147000 : 146910		
14	3495 : 3492	IGHD : IGH		5480 : 5477	147170 : 146910		
14	3497 : 3492	IGHE : IGH		5522 : 5477	147180 : 146910		
14	3498 : 3492	IGHEP1 : IGH		5523 : 5477	<NA> : 146910		
14	3500 : 3492	IGHG1 : IGH		5525 : 5477	147100 : 146910		
14	3501 : 3492	IGHG2 : IGH		5526 : 5477	147110 : 146910		
14	3502 : 3492	IGHG3 : IGH		5527 : 5477	147120 : 146910		
14	3503 : 3492	IGHG4 : IGH		5528 : 5477	147130 : 146910		
14	3505 : 3492	IGHGP : IGH		5529 : 5477	<NA> : 146910		
14	3507 : 3492	IGHM : IGH		5541 : 5477	147020 : 146910		
2	3514 : 50802	IGKC : IGK		5716 : 5715			
2	3515 : 50802	IGKDEL : IGK		5717 : 5715			
22	3537 : 3535	IGLC1 : IGL		5855 : 5853			
22	3538 : 3535	IGLC2 : IGL		5856 : 5853			
22	3539 : 3535	IGLC3 : IGL		5857 : 5853			
22	3540 : 3535	IGLC4 : IGL		5858 : 5853			
22	3541 : 3535	IGLC5 : IGL		5859 : 5853			
22	3542 : 3535	IGLC6 : IGL		5860 : 5853			
5	5098 : 56115	PCDHGC3 : PCDHG@		8716 : 8695			
14	6956 : 6955	TRAV6 : TRA		12144 : 12027			
7	6966 : 6965	TRGC1 : TRG		12275 : 12271			
7	6967 : 6965	TRGC2 : TRG		12276 : 12271			
7	6968 : 6965	TRGJ1 : TRG		12277 : 12271			
7	6969 : 6965	TRGJ2 : TRG		12278 : 12271			
7	6970 : 6965	TRGJP : TRG		12279 : 12271			
7	6971 : 6965	TRGJP1 : TRG		12280 : 12271			
7	6972 : 6965	TRGJP2 : TRG		12281 : 12271			
7	6973 : 6965	TRGV1 : TRG		12284 : 12271			
7	6974 : 6965	TRGV2 : TRG		12287 : 12271			
