chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID
19	1 : 162968	A1BG : ZNF497	ENSG00000121410 : ENSG00000174586	5 : 23714		P04217 : Q6ZNH5	A1BG : ZN497
1	34 : 5876	ACADM : RABGGTB	ENSG00000117054 : ENSG00000137955	89 : 9796	607008 : 179080	P11310 : P53611	ACADM : PGTB2
2	52 : 101927262	ACP1 : LOC101927262					
3	86 : 57129	ACTL6A : MRPL47	ENSG00000136518 : ENSG00000136522	24124 : 16652	604958 : 611852	O96019 : Q9HD33	ACL6A : RM47
12	217 : 80724	ALDH2 : ACAD10	ENSG00000111275 : ENSG00000111271	404 : 21597	<NA> : 611181	P05091 : Q6JQN1	ALDH2 : ACD10
15	220 : 105369201	ALDH1A3 : GCAWKR	ENSG00000184254 : ENSG00000272808	409 : 53740			
1	270 : 163259	AMPD1 : DENND2C	ENSG00000116748 : ENSG00000175984	468 : 24748		P23109 : Q68D51	AMPD1 : DEN2C
11	272 : 100130460	AMPD3 : CAND1.11					
1	280 : 55599	AMY2B : RNPC3	ENSG00000240038 : ENSG00000185946	478 : 18666	104660 : 618016	P19961 : Q96LT9	AMY2B : RNPC3
4	291 : 101928877	SLC25A4 : LINC02436	ENSG00000151729 : ENSG00000250754	10990 : 53368			
5	324 : 6728	APC : SRP19	ENSG00000134982 : ENSG00000153037	583 : 11300	611731 : 182175	P25054 : P09132	APC : SRP19
11	334 : 6768	APLP2 : ST14	ENSG00000084234 : ENSG00000149418	598 : 11344	104776 : 606797	Q06481 : Q9Y5Y6	APLP2 : ST14
7	358 : 84182	AQP1 : MINDY4	ENSG00000240583 : ENSG00000106125	633 : 21916		P29972 : Q4G0A6	AQP1 : MINY4
7	381 : 29999	ARF5 : FSCN3	ENSG00000004059 : ENSG00000106328	658 : 3961	103188 : 615800	P84085 : Q9NQT6	ARF5 : FSCN3
1	389 : 333926	RHOC : PPM1J	ENSG00000155366 : ENSG00000155367	669 : 20785	165380 : 609957	P08134 : Q5JR12	RHOC : PPM1J
X	393 : 3897	ARHGAP4 : L1CAM	ENSG00000089820 : ENSG00000198910	674 : 6470	300023 : 308840	P98171 : P32004	RHG04 : L1CAM
X	393 : 8260	ARHGAP4 : NAA10	ENSG00000089820 : ENSG00000102030	674 : 18704	300023 : 300013	P98171 : P41227	RHG04 : NAA10
16	398 : 64714	ARHGDIG : PDIA2	ENSG00000242173 : ENSG00000185615	680 : 14180	602844 : 608012	Q99819 : Q13087	GDIR3 : PDIA2
7	435 : 27297	ASL : CRCP	ENSG00000126522 : ENSG00000241258	746 : 17888	608310 : 606121	P04424 : O75575	ARLY : RPC9
21	539 : 29980	ATP5PO : DONSON	ENSG00000241837 : ENSG00000159147	850 : 2993	600828 : 611428	P48047 : Q9NYP3	ATPO : DONS
21	571 : 100379661	BACH1 : GRIK1-AS2	ENSG00000156273 : ENSG00000156273	935 : 1282			
21	571 : 193629	BACH1 : LINC00189	ENSG00000156273 : ENSG00000215533	935 : 18461			
11	582 : 10072	BBS1 : DPP3	ENSG00000174483 : ENSG00000254986	966 : 3008	209901 : 606818	Q8NFJ9 : Q9NY33	BBS1 : DPP3
19	593 : 641649	BCKDHA : TMEM91	ENSG00000248098 : ENSG00000142046	986 : 32393	608348 : 618294	P12694 : Q6ZNR0	ODBA : TMM91
14	623 : 624	BDKRB1 : BDKRB2	ENSG00000100739 : ENSG00000168398	1029 : 1030	600337 : 113503	P46663 : P30411	BKRB1 : BKRB2
14	624 : 623	BDKRB2 : BDKRB1	ENSG00000168398 : ENSG00000100739	1030 : 1029	113503 : 600337	P30411 : P46663	BKRB2 : BKRB1
6	629 : 717	CFB : C2	ENSG00000243649 : ENSG00000166278	1037 : 1248	138470 : 613927	P00751 : P06681	CFAB : CO2
17	672 : 101929767	BRCA1 : LOC101929767					
1	712 : 714	C1QA : C1QC	ENSG00000173372 : ENSG00000159189	1241 : 1245	120550 : 120575	P02745 : P02747	C1QA : C1QC
1	714 : 712	C1QC : C1QA	ENSG00000159189 : ENSG00000173372	1245 : 1241	120575 : 120550	P02747 : P02745	C1QC : C1QA
12	715 : 51279	C1R : C1RL	ENSG00000159403 : ENSG00000139178	1246 : 21265	613785 : 608974	P00736 : Q9NZP8	C1R : C1RL
6	717 : 629	C2 : CFB	ENSG00000166278 : ENSG00000243649	1248 : 1037	613927 : 138470	P06681 : P00751	CO2 : CFAB
5	735 : 1601	C9 : DAB2	ENSG00000113600 : ENSG00000153071	1358 : 2662	120940 : 601236	P02748 : P98082	CO9 : DAB2
8	761 : 377677	CA3 : CA13	ENSG00000164879 : ENSG00000185015	1374 : 14914	114750 : 611436	P07451 : Q8N1Q1	CAH3 : CAH13
2	805 : 285051	CALM2 : STPG4	ENSG00000143933 : ENSG00000239605	1445 : 26850		<NA> : Q8N801	<NA> : STPG4
15	825 : 2595	CAPN3 : GANC	ENSG00000092529 : ENSG00000214013	1480 : 4139	114240 : 104180	P20807 : Q8TET4	CAN3 : GANC
5	831 : 101929710	CAST : LOC101929710	ENSG00000153113 : ENSG00000251314				
7	835 : 135932	CASP2 : TMEM139	ENSG00000106144 : ENSG00000178826	1503 : 22058	600639 : 616524	P42575 : Q8IV31	CASP2 : TM139
11	931 : 64232	MS4A1 : MS4A5	ENSG00000156738 : ENSG00000166930	7315 : 13374	112210 : 606499	P11836 : Q9H3V2	CD20 : MS4A5
19	933 : 4099	CD22 : MAG	ENSG00000012124 : ENSG00000105695	1643 : 6783	107266 : 159460	P20273 : P20916	CD22 : MAG
12	949 : 7316	SCARB1 : UBC	ENSG00000073060 : ENSG00000150991	1664 : 12468	601040 : 191340	Q8WTV0 : P0CG48	SCRB1 : UBC
17	968 : 1973	CD68 : EIF4A1	ENSG00000129226 : ENSG00000161960	1693 : 3282	153634 : 602641	P34810 : P60842	CD68 : IF4A1
1	998 : 29092	CDC42 : LINC00339	ENSG00000070831 : ENSG00000218510	1736 : 25011			
2	1058 : 54978	CENPA : SLC35F6	ENSG00000115163 : ENSG00000213699	1851 : 26055	117139 : 619667	P49450 : Q8N357	CENPA : S35F6
11	1072 : 30008	CFL1 : EFEMP2	ENSG00000172757 : ENSG00000172638	1874 : 3219	601442 : 604633	P23528 : O95967	COF1 : FBLN4
10	1103 : 282966	CHAT : C10orf53	ENSG00000070748 : ENSG00000178645	1912 : 27421		P28329 : Q8N6V4	CLAT : CJ053
15	1106 : 100507217	CHD2 : CHASERR		1917 : 48626			
14	1112 : 90141	FOXN3 : EFCAB11	ENSG00000053254 : ENSG00000140025	1928 : 20357		O00409 : Q9BUY7	FOXN3 : EFC11
2	1123 : 1386	CHN1 : ATF2	ENSG00000128656 : ENSG00000115966	1943 : 784	118423 : 123811	P15882 : P15336	CHIN : ATF2
15	1138 : 5685	CHRNA5 : PSMA4	ENSG00000169684 : ENSG00000041357	1959 : 9533	118505 : 176846	P30532 : P25789	ACHA5 : PSA4
1	1185 : 100379251	CLCN6 : NPPA-AS1		2024 : 37635			
1	1187 : 23013	CLCNKA : SPEN	ENSG00000186510 : ENSG00000065526	2026 : 17575	602024 : 613484	P51800 : Q96T58	CLCKA : MINT
6	1235 : 11116	CCR6 : CEP43	ENSG00000112486 : ENSG00000213066	1607 : 17012	601835 : 605392	P51684 : O95684	CCR6 : CEP43
3	1238 : 100506243	ACKR2 : KRBOX1	ENSG00000144648 : ENSG00000240747	1565 : 38708		O00590 : C9JBD0	ACKR2 : KRBX1
3	1238 : 389114	ACKR2 : ZNF662	ENSG00000144648 : ENSG00000182983	1565 : 31930		O00590 : Q6ZS27	ACKR2 : ZN662
3	1238 : 729085	ACKR2 : GASK1A	ENSG00000144648 : ENSG00000144649	1565 : 24485		O00590 : Q9UFP1	ACKR2 : GAK1A
3	1295 : 84319	COL8A1 : CMSS1	ENSG00000144810 : ENSG00000184220	2215 : 28666		P27658 : Q9BQ75	CO8A1 : CMS1
11	1315 : 5682	COPB1 : PSMA1	ENSG00000129083 : ENSG00000129084	2231 : 9530	600959 : 602854	P53618 : P25786	COPB : PSA1
12	1337 : 283459	COX6A1 : GATC	ENSG00000111775 : ENSG00000257218	2277 : 25068	602072 : 617210	P12074 : O43716	CX6A1 : GATC
11	1351 : 55611	COX8A : OTUB1	ENSG00000176340 : ENSG00000167770	2294 : 23077	123870 : 608337	P10176 : Q96FW1	COX8A : OTUB1
17	1366 : 23399	CLDN7 : CTDNEP1	ENSG00000181885 : ENSG00000175826	2049 : 19085	609131 : 610684	O95471 : O95476	CLD7 : CNEP1
2	1386 : 1123	ATF2 : CHN1	ENSG00000115966 : ENSG00000128656	784 : 1943	123811 : 118423	P15336 : P15882	ATF2 : CHIN
6	1388 : 7148	ATF6B : TNXB	ENSG00000213676 : ENSG00000168477	2349 : 11976	600984 : 600985	Q99941 : P22105	ATF6B : TENX
14	1396 : 283643	CRIP1 : TEDC1	ENSG00000213145 : ENSG00000185347	2360 : 20127		P50238 : Q86SX3	CRIP1 : TEDC1
