GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene
22	ABCB7	ENSG00000131269	48	300135	O75027	ABCB7	protein-coding
83	ACTG1P10		155				pseudo
122	ADFN						unknown
179	AGMX2						unknown
186	AGTR2	ENSG00000180772	338	300034	P50052	AGTR2	protein-coding
190	NR0B1	ENSG00000169297	7960	300473	P51843	NR0B1	protein-coding
192	AIC						unknown
201	AIH3						unknown
212	ALAS2	ENSG00000158578	397	301300	P22557	HEM0	protein-coding
215	ABCD1	ENSG00000101986	61	300371	P33897	ABCD1	protein-coding
265	AMELX	ENSG00000125363	461	300391	Q99217	AMELX	protein-coding
289	ANOP1						unknown
292	SLC25A5	ENSG00000005022	10991	300150	P05141	ADT2	protein-coding
331	XIAP	ENSG00000101966	592	300079	P98170	XIAP	protein-coding
357	SHROOM2	ENSG00000146950	630	300103	Q13796	SHRM2	protein-coding
367	AR	ENSG00000169083	644	313700	P10275	ANDR	protein-coding
369	ARAF	ENSG00000078061	646	311010	P10398	ARAF	protein-coding
393	ARHGAP4	ENSG00000089820	674	300023	P98171	RHG04	protein-coding
395	ARHGAP6	ENSG00000047648	676	300118	O43182	RHG06	protein-coding
407	ARR3	ENSG00000120500	710	301770	P36575	ARRC	protein-coding
412	STS	ENSG00000101846	11425	300747	P08842	STS	protein-coding
413	ARSC2		716	301780			unknown
414	ARSD	ENSG00000006756	717	300002	P51689	ARSD	protein-coding
415	ARSL	ENSG00000157399	719	300180	P51690	ARSL	protein-coding
416	ARSF	ENSG00000062096	721	300003	P54793	ARSF	protein-coding
449	ASS1P4	ENSG00000213487	767				pseudo
450	ASS1P5	ENSG00000227881	768				pseudo
469	ATF4P1		789				pseudo
492	ATP2B3	ENSG00000067842	816	300014	Q16720	AT2B3	protein-coding
537	ATP6AP1	ENSG00000071553	868	300197	Q15904	VAS1	protein-coding
538	ATP7A	ENSG00000165240	869	300011	Q04656	ATP7A	protein-coding
546	ATRX	ENSG00000085224	886	300032	P46100	ATRX	protein-coding
554	AVPR2	ENSG00000126895	897	300538	P30518	V2R	protein-coding
619	BCYRN1P1		1023				pseudo
633	BGN	ENSG00000182492	1044	301870	P21810	PGS1	protein-coding
660	BMX	ENSG00000102010	1079	300101	P51813	BMX	protein-coding
680	BRS3	ENSG00000102239	1113	300107	P32247	BRS3	protein-coding
695	BTK	ENSG00000010671	1133	300300	Q06187	BTK	protein-coding
778	CACNA1F	ENSG00000102001	1393	300110	O60840	CAC1F	protein-coding
795	S100G	ENSG00000169906	1436	302020	P29377	S100G	protein-coding
802	CALM1P1	ENSG00000223467	1443				pseudo
827	CAPN6	ENSG00000077274	1483	300146	Q9Y6Q1	CAN6	protein-coding
907	CCT						unknown
959	CD40LG	ENSG00000102245	11935	300386	P29965	CD40L	protein-coding
1038	CDR1		1798	302650	P51861	CDR1	unknown
1046	CDX4	ENSG00000131264	1808	300025	O14627	CDX4	protein-coding
1069	CETN2	ENSG00000147400	1867	300006	P41208	CETN2	protein-coding
1083	CGF1						unknown
1121	CHM	ENSG00000188419	1940	300390	P24386	RAE1	protein-coding
1183	CLCN4	ENSG00000073464	2022	302910	P51793	CLCN4	protein-coding
1184	CLCN5	ENSG00000171365	2023	300008	P51795	CLCN5	protein-coding
1193	CLIC2	ENSG00000155962	2063	300138	O15247	CLIC2	protein-coding
1253	CMTX2						unknown
1254	CMTX3						unknown
1260	CNGA2	ENSG00000183862	2149	300338	Q16280	CNGA2	protein-coding
1275	COD2						unknown
1287	COL4A5	ENSG00000188153	2207	303630	P29400	CO4A5	protein-coding
1288	COL4A6	ENSG00000197565	2208	303631	Q14031	CO4A6	protein-coding
1349	COX7B	ENSG00000131174	2291	300885	P24311	COX7B	protein-coding
1478	CSTF2	ENSG00000101811	2484	300907	P33240	CSTF2	protein-coding
1485	CTAG1B	ENSG00000184033	2491	300156			protein-coding
1527	TEX28	ENSG00000278057	2563	300092	O15482	TEX28	protein-coding
1536	CYBB	ENSG00000165168	2578	300481	P04839	CY24B	protein-coding
1538	CYLC1	ENSG00000183035	2582	300768	P35663	CYLC1	protein-coding
1641	DCX	ENSG00000077279	2714	300121	O43602	DCX	protein-coding
1654	DDX3X	ENSG00000215301	2745	300160	O00571	DDX3X	protein-coding
1678	TIMM8A	ENSG00000126953	11817	300356	O60220	TIM8A	protein-coding
1680	DFNX3						unknown
1730	DIAPH2	ENSG00000147202	2877	300108	O60879	DIAP2	protein-coding
1736	DKC1	ENSG00000130826	2890	300126	O60832	DKC1	protein-coding
1741	DLG3	ENSG00000082458	2902	300189	Q92796	DLG3	protein-coding
1756	DMD	ENSG00000198947	2928	300377	P11532	DMD	protein-coding
1774	DNASE1L1	ENSG00000013563	2957	300081	P49184	DNSL1	protein-coding
1821	DRP2	ENSG00000102385	3032	300052	Q13474	DRP2	protein-coding
1831	TSC22D3	ENSG00000157514	3051	300506	Q99576	T22D3	protein-coding
1852	DUSP9	ENSG00000130829	3076	300134	Q99956	DUS9	protein-coding
1881	EBM						unknown
1896	EDA	ENSG00000158813	3157	300451	Q92838	EDA	protein-coding
1947	EFNB1	ENSG00000090776	3226	300035	P98172	EFNB1	protein-coding
1964	EIF1AX	ENSG00000173674	3250	300186	P47813	IF1AX	protein-coding
1968	EIF2S3	ENSG00000130741	3267	300161	P41091	IF2G	protein-coding
2000	ELF4	ENSG00000102034	3319	300775	Q99607	ELF4	protein-coding
2002	ELK1	ENSG00000126767	3321	311040	P19419	ELK1	protein-coding
2010	EMD	ENSG00000102119	3331	300384	P50402	EMD	protein-coding
2157	F8	ENSG00000185010	3546	300841	P00451	FA8	protein-coding
2158	F9	ENSG00000101981	3551	300746	P00740	FA9	protein-coding
2182	ACSL4	ENSG00000068366	3571	300157	O60488	ACSL4	protein-coding
2187	FANCB	ENSG00000181544	3583	300515	Q8NB91	FANCB	protein-coding
2221	FCP1						unknown
2229	FDPSP5	ENSG00000215035	3636				pseudo
2239	GPC4	ENSG00000076716	4452	300168	O75487	GPC4	protein-coding
2245	FGD1	ENSG00000102302	3663	300546	P98174	FGD1	protein-coding
2258	FGF13	ENSG00000129682	3670	300070	Q92913	FGF13	protein-coding
2270	FGS2						unknown
2273	FHL1	ENSG00000022267	3702	300163	Q13642	FHL1	protein-coding
2277	VEGFD	ENSG00000165197	3708	300091	O43915	VEGFD	protein-coding
2316	FLNA	ENSG00000196924	3754	300017	P21333	FLNA	protein-coding
2332	FMR1	ENSG00000102081	3775	309550	Q06787	FMR1	protein-coding
2334	AFF2	ENSG00000155966	3776	300806	P51816	AFF2	protein-coding
2478	FRAXB		3946				other
2479	FRAXC		3947				other
2480	FRAXD		3948				other
2491	CENPI	ENSG00000102384	3968	300065	Q92674	CENPI	protein-coding
2501	FTH1P8		3995				pseudo
2539	G6PD	ENSG00000160211	4057	305900	P11413	G6PD	protein-coding
2543	GAGE1	ENSG00000205777	4098	300594	P0DTW1	GAGE1	protein-coding
2556	GABRA3	ENSG00000011677	4077	305660	P34903	GBRA3	protein-coding
2564	GABRE	ENSG00000102287	4085	300093	P78334	GBRE	protein-coding
2574	GAGE2C		31958	300595			protein-coding
2576	GAGE4		4101	300597	P0DSO3	GAGE4	protein-coding
2577	GAGE5		4102	300598			protein-coding
2578	GAGE6		4103	300599	Q13070	GAGE6	protein-coding
2579	GAGE7		4104	300601			protein-coding
2609	GAPDHP67		4145				pseudo
2616	GAPDHP1		4159				pseudo
2623	GATA1	ENSG00000102145	4170	305371	P15976	GATA1	protein-coding
2652	OPN1MW	ENSG00000268221	4206	300821			protein-coding
2664	GDI1	ENSG00000203879	4226	300104	P31150	GDIA	protein-coding
2705	GJB1	ENSG00000169562	4283	304040	P08034	CXB1	protein-coding
2710	GK	ENSG00000198814	4289	300474	P32189	GLPK	protein-coding
2716	GK4P		4295				pseudo
2717	GLA	ENSG00000102393	4296	300644	P06280	AGAL	protein-coding
2719	GPC3	ENSG00000147257	4451	300037	P51654	GPC3	protein-coding
2742	GLRA2	ENSG00000101958	4327	305990	P23416	GLRA2	protein-coding
2747	GLUD2	ENSG00000182890	4336	300144	P49448	DHE4	protein-coding
2824	GPM6B	ENSG00000046653	4461	300051	Q13491	GPM6B	protein-coding
2833	CXCR3	ENSG00000186810	4540	300574	P49682	CXCR3	protein-coding
2846	LPAR4	ENSG00000147145	4478	300086	Q99677	LPAR4	protein-coding
2857	GPR34	ENSG00000171659	4490	300241	Q9UPC5	GPR34	protein-coding
2892	GRIA3	ENSG00000125675	4573	305915	P42263	GRIA3	protein-coding
2925	GRPR	ENSG00000126010	4609	305670	P30550	GRPR	protein-coding
2986	GUCY2F	ENSG00000101890	4691	300041	P51841	GUC2F	protein-coding
3028	HSD17B10	ENSG00000072506	4800	300256	Q99714	HCD2	protein-coding
3052	HCCS	ENSG00000004961	4837	300056	P53701	CCHL	protein-coding
3054	HCFC1	ENSG00000172534	4839	300019	P51610	HCFC1	protein-coding
3149	HMGB3	ENSG00000029993	5004	300193	O15347	HMGB3	protein-coding
3188	HNRNPH2	ENSG00000126945	5042	300610	P55795	HNRH2	protein-coding
3251	HPRT1	ENSG00000165704	5157	308000	P00492	HPRT	protein-coding
3258	HPT						unknown
3266	ERAS	ENSG00000187682	5174	300437	Q7Z444	RASE	protein-coding
3314	HSPA8P1	ENSG00000234176	5245				pseudo
3342	HTC2						unknown
3358	HTR2C	ENSG00000147246	5295	312861	P28335	5HT2C	protein-coding
3421	IDH3G	ENSG00000067829	5386	300089	P51553	IDH3G	protein-coding
3423	IDS	ENSG00000010404	5389	300823	P22304	IDS	protein-coding
3424	IDSP1		5390				pseudo
3476	IGBP1	ENSG00000089289	5461	300139	P78318	IGBP1	protein-coding
3547	IGSF1	ENSG00000147255	5948	300137	Q8N6C5	IGSF1	protein-coding
3548	IHG1						unknown
3561	IL2RG	ENSG00000147168	6010	308380	P31785	IL2RG	protein-coding
3597	IL13RA1	ENSG00000131724	5974	300119	P78552	I13R1	protein-coding
3598	IL13RA2	ENSG00000123496	5975	300130	Q14627	I13R2	protein-coding
3654	IRAK1	ENSG00000184216	6112	300283	P51617	IRAK1	protein-coding
3730	ANOS1	ENSG00000011201	6211	300836	P23352	KALM	protein-coding
3750	KCND1	ENSG00000102057	6237	300281	Q9NSA2	KCND1	protein-coding
3876	KRT18P11	ENSG00000215089	6431				pseudo
3897	L1CAM	ENSG00000198910	6470	308840	P32004	L1CAM	protein-coding
