chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID
12	3 : 2	A2MP1 : A2M	ENSG00000291190 : ENSG00000175899	8 : 7	<NA> : 103950	<NA> : P01023	<NA> : A2MG
8	11 : 10	NATP : NAT2	<NA> : ENSG00000156006	15 : 7646	<NA> : 612182	<NA> : P11245	<NA> : ARY2
5	62 : 60	ACTBP2 : ACTB	<NA> : ENSG00000075624	135 : 132	<NA> : 102630	<NA> : P60709	<NA> : ACTB
18	63 : 60	ACTBP3 : ACTB	<NA> : ENSG00000075624	136 : 132	<NA> : 102630	<NA> : P60709	<NA> : ACTB
5	64 : 60	ACTBP4 : ACTB	<NA> : ENSG00000075624	137 : 132	<NA> : 102630	<NA> : P60709	<NA> : ACTB
8	66 : 60	ACTBP6 : ACTB	<NA> : ENSG00000075624	139 : 132	<NA> : 102630	<NA> : P60709	<NA> : ACTB
15	67 : 60	ACTBP7 : ACTB	<NA> : ENSG00000075624	140 : 132	<NA> : 102630	<NA> : P60709	<NA> : ACTB
6	68 : 60	ACTBP8 : ACTB	<NA> : ENSG00000075624	141 : 132	<NA> : 102630	<NA> : P60709	<NA> : ACTB
18	69 : 60	ACTBP9 : ACTB	<NA> : ENSG00000075624	142 : 132	<NA> : 102630	<NA> : P60709	<NA> : ACTB
3	73 : 71	ACTG1P1 : ACTG1	<NA> : ENSG00000184009	146 : 144	<NA> : 102560	<NA> : P63261	<NA> : ACTG
Y	74 : 71	ACTG1P2 : ACTG1	<NA> : ENSG00000184009	147 : 144	<NA> : 102560	<NA> : P63261	<NA> : ACTG
20	75 : 71	ACTG1P3 : ACTG1	<NA> : ENSG00000184009	148 : 144	<NA> : 102560	<NA> : P63261	<NA> : ACTG
1	78 : 71	ACTG1P6 : ACTG1	<NA> : ENSG00000184009	151 : 144	<NA> : 102560	<NA> : P63261	<NA> : ACTG
1	79 : 71	ACTG1P7 : ACTG1	<NA> : ENSG00000184009	152 : 144	<NA> : 102560	<NA> : P63261	<NA> : ACTG
1	80 : 71	ACTG1P8 : ACTG1	<NA> : ENSG00000184009	153 : 144	<NA> : 102560	<NA> : P63261	<NA> : ACTG
6	82 : 71	ACTG1P9 : ACTG1	<NA> : ENSG00000184009	154 : 144	<NA> : 102560	<NA> : P63261	<NA> : ACTG
X	83 : 71	ACTG1P10 : ACTG1	<NA> : ENSG00000184009	155 : 144	<NA> : 102560	<NA> : P63261	<NA> : ACTG
1	137 : 136	ADORA2BP1 : ADORA2B	<NA> : ENSG00000170425	265 : 264	<NA> : 600446	<NA> : P29275	<NA> : AA2BR
13	144 : 142	PARP1P1 : PARP1	ENSG00000227105 : ENSG00000143799	275 : 270	<NA> : 173870	<NA> : P09874	<NA> : PARP1
14	145 : 142	PARP1P2 : PARP1	<NA> : ENSG00000143799	276 : 270	<NA> : 173870	<NA> : P09874	<NA> : PARP1
17	206 : 205	AK4P1 : AK4	<NA> : ENSG00000162433	364 : 363	<NA> : 103030	<NA> : P27144	<NA> : KAD4
10	228 : 226	ALDOAP2 : ALDOA	<NA> : ENSG00000149925	416 : 414	<NA> : 103850	<NA> : P04075	<NA> : ALDOA
3	236 : 231	AKR1B1P2 : AKR1B1	<NA> : ENSG00000085662	425 : 381	<NA> : 103880	<NA> : P15121	<NA> : ALDR
17	243 : 239	ALOX12P1 : ALOX12	<NA> : ENSG00000108839	431 : 429	<NA> : 152391	<NA> : P18054	<NA> : LOX12
17	245 : 239	ALOX12P2 : ALOX12	ENSG00000291084 : ENSG00000108839	432 : 429	<NA> : 152391	<NA> : P18054	<NA> : LOX12
	263 : 262	<NA> : AMD1	<NA> : ENSG00000123505	<NA> : 457	<NA> : 180980	<NA> : P17707	<NA> : DCAM
1	281 : 279	AMYP1 : AMY2A	ENSG00000227408 : ENSG00000243480	479 : 477	<NA> : 104650	<NA> : P04746	<NA> : AMYP
4	303 : 302	ANXA2P1 : ANXA2	<NA> : ENSG00000182718	538 : 537	<NA> : 151740	<NA> : P07355	<NA> : ANXA2
9	304 : 302	ANXA2P2 : ANXA2	<NA> : ENSG00000182718	539 : 537	<NA> : 151740	<NA> : P07355	<NA> : ANXA2
10	305 : 302	ANXA2P3 : ANXA2	<NA> : ENSG00000182718	540 : 537	<NA> : 151740	<NA> : P07355	<NA> : ANXA2
19	342 : 341	APOC1P1 : APOC1	ENSG00000291128 : ENSG00000130208	608 : 607	<NA> : 107710	<NA> : P02654	<NA> : APOC1
9	380 : 378	ARF4P1 : ARF4	<NA> : ENSG00000168374	657 : 655	<NA> : 601177	<NA> : P18085	<NA> : ARF4
11	418 : 419	ART2P : ART3	<NA> : ENSG00000156219	724 : 725	<NA> : 603086	<NA> : Q13508	<NA> : NAR3
22	436 : 435	ASLP1 : ASL	<NA> : ENSG00000126522	747 : 746	<NA> : 608310	<NA> : P04424	<NA> : ARLY
21	442 : 440	ASNSP2 : ASNS	<NA> : ENSG00000070669	755 : 753	<NA> : 108370	<NA> : P08243	<NA> : ASNS
2	447 : 445	ASS1P2 : ASS1	ENSG00000223922 : ENSG00000130707	765 : 758	<NA> : 603470	<NA> : P00966	<NA> : ASSY
X	449 : 445	ASS1P4 : ASS1	ENSG00000213487 : ENSG00000130707	767 : 758	<NA> : 603470	<NA> : P00966	<NA> : ASSY
X	450 : 445	ASS1P5 : ASS1	ENSG00000227881 : ENSG00000130707	768 : 758	<NA> : 603470	<NA> : P00966	<NA> : ASSY
Y	451 : 445	ASS1P6 : ASS1	ENSG00000215583 : ENSG00000130707	769 : 758	<NA> : 603470	<NA> : P00966	<NA> : ASSY
4	453 : 445	ASS1P8 : ASS1	<NA> : ENSG00000130707	771 : 758	<NA> : 603470	<NA> : P00966	<NA> : ASSY
5	454 : 445	ASS1P9 : ASS1	ENSG00000217791 : ENSG00000130707	772 : 758	<NA> : 603470	<NA> : P00966	<NA> : ASSY
5	455 : 445	ASS1P10 : ASS1	ENSG00000215325 : ENSG00000130707	760 : 758	<NA> : 603470	<NA> : P00966	<NA> : ASSY
12	459 : 445	ASS1P14 : ASS1	ENSG00000257316 : ENSG00000130707	764 : 758	<NA> : 603470	<NA> : P00966	<NA> : ASSY
X	469 : 468	ATF4P1 : ATF4	<NA> : ENSG00000128272	789 : 786	<NA> : 604064	<NA> : P18848	<NA> : ATF4
2	484 : 483	ATP1B3P1 : ATP1B3	<NA> : ENSG00000069849	807 : 806	<NA> : 601867	<NA> : P54709	<NA> : AT1B3
4	485 : 481	ATP1B1P1 : ATP1B1	<NA> : ENSG00000143153	809 : 804	<NA> : 182330	<NA> : P05026	<NA> : AT1B1
2	504 : 498	ATP5F1AP2 : ATP5F1A	ENSG00000227682 : ENSG00000152234	828 : 823	<NA> : 164360	<NA> : P25705	<NA> : ATPA
2	507 : 506	ATP5F1BP1 : ATP5F1B	ENSG00000231635 : ENSG00000110955	831 : 830	<NA> : 102910	<NA> : P06576	<NA> : ATPB
1	520 : 517	ATP5MC2P1 : ATP5MC2	<NA> : ENSG00000135390	844 : 842	<NA> : 603193	<NA> : Q06055	<NA> : AT5G2
5	541 : 501	ALDH7A1P1 : ALDH7A1	ENSG00000251400 : ENSG00000164904	878 : 877	<NA> : 107323	<NA> : P49419	<NA> : AL7A1
2	542 : 501	ALDH7A1P2 : ALDH7A1	ENSG00000232292 : ENSG00000164904	879 : 877	<NA> : 107323	<NA> : P49419	<NA> : AL7A1
7	543 : 501	ALDH7A1P3 : ALDH7A1	<NA> : ENSG00000164904	880 : 877	<NA> : 107323	<NA> : P49419	<NA> : AL7A1
10	544 : 501	ALDH7A1P4 : ALDH7A1	<NA> : ENSG00000164904	881 : 877	<NA> : 107323	<NA> : P49419	<NA> : AL7A1
20	600 : 578	BAK1P1 : BAK1	<NA> : ENSG00000030110	996 : 949	<NA> : 600516	<NA> : Q16611	<NA> : BAK
11	601 : 578	BAK1P2 : BAK1	<NA> : ENSG00000030110	997 : 949	<NA> : 600516	<NA> : Q16611	<NA> : BAK
15	606 : 26960	NBEAP1 : NBEA	<NA> : ENSG00000172915	1007 : 7648	601889 : 604889	<NA> : Q8NFP9	<NA> : NBEA
22	616 : 613	BCRP4 : BCR	ENSG00000215456 : ENSG00000186716	1017 : 1014	<NA> : 151410	<NA> : P11274	<NA> : BCR
X	619 : 618	BCYRN1P1 : BCYRN1	<NA> : ENSG00000236824	1023 : 1022	<NA> : 606089		
1	620 : 618	BCYRN1P2 : BCYRN1	<NA> : ENSG00000236824	1024 : 1022	<NA> : 606089		
13	690 : 689	BTF3P11 : BTF3	<NA> : ENSG00000145741	1126 : 1125	602543 : 602542	<NA> : P20290	<NA> : BTF3
8	693 : 689	BTF3P1 : BTF3	<NA> : ENSG00000145741	1129 : 1125	<NA> : 602542	<NA> : P20290	<NA> : BTF3
1	724 : 722	C4BPAP2 : C4BPA	ENSG00000232621 : ENSG00000123838	1327 : 1325	<NA> : 120830	<NA> : P04003	<NA> : C4BPA
16	764 : 763	CA5AP1 : CA5A	ENSG00000260133 : ENSG00000174990	1379 : 1377	<NA> : 114761	<NA> : P35218	<NA> : CAH5A
6	789 : 788	SLC25A20P1 : SLC25A20	<NA> : ENSG00000178537	1422 : 1421	<NA> : 613698	<NA> : O43772	<NA> : MCAT
11	798 : 797	CALCP : CALCB	ENSG00000253179 : ENSG00000175868	1439 : 1438	<NA> : 114160	<NA> : P10092	<NA> : CALCB
X	802 : 801	CALM1P1 : CALM1	ENSG00000223467 : ENSG00000198668	1443 : 1442	<NA> : 114180		
7	804 : 801	CALM1P2 : CALM1	<NA> : ENSG00000198668	1444 : 1442	<NA> : 114180		
10	806 : 805	CALM2P2 : CALM2	<NA> : ENSG00000143933	1447 : 1445	<NA> : 114182		
13	807 : 805	CALM2P3 : CALM2	<NA> : ENSG00000143933	1448 : 1445	<NA> : 114182		
11	895 : 894	CCND2P1 : CCND2	<NA> : ENSG00000118971	1584 : 1583	<NA> : 123833	<NA> : P30279	<NA> : CCND2
10	897 : 896	CCND3P1 : CCND3	ENSG00000224473 : ENSG00000112576	1586 : 1585	<NA> : 123834	<NA> : P30281	<NA> : CCND3
1	935 : 100133941	CD24P1 : CD24	<NA> : ENSG00000272398	1646 : 1645	<NA> : 600074	<NA> : P25063	<NA> : CD24
15	936 : 100133941	CD24P2 : CD24	<NA> : ENSG00000272398	1647 : 1645	<NA> : 600074	<NA> : P25063	<NA> : CD24
20	937 : 100133941	CD24P3 : CD24	<NA> : ENSG00000272398	1648 : 1645	<NA> : 600074	<NA> : P25063	<NA> : CD24
Y	938 : 100133941	CD24P4 : CD24	<NA> : ENSG00000272398	1649 : 1645	<NA> : 600074	<NA> : P25063	<NA> : CD24
5	1011 : 1010	CDH12P2 : CDH12	ENSG00000249230 : ENSG00000154162	1752 : 1751	<NA> : 600562	<NA> : P55289	<NA> : CAD12
9	1057 : 1056	CELP : CEL	ENSG00000170827 : ENSG00000170835	1849 : 1848	<NA> : 114840	<NA> : B4DSX9	<NA> : B4DSX9
12	1061 : 1060	CENPCP1 : CENPC	ENSG00000226982 : ENSG00000145241	1855 : 1854	<NA> : 117141	<NA> : Q03188	<NA> : CENPC
5	1074 : 1072	CFL1P5 : CFL1	<NA> : ENSG00000172757	1877 : 1874	<NA> : 601442	<NA> : P23528	<NA> : COF1
19	1085 : 1088	CEACAMP5 : CEACAM8	<NA> : ENSG00000124469	1827 : 1820	<NA> : 615747	<NA> : P31997	<NA> : CEAM8
19	1090 : 1088	CEACAMP1 : CEACAM8	ENSG00000233681 : ENSG00000124469	1821 : 1820	<NA> : 615747	<NA> : P31997	<NA> : CEAM8
19	1091 : 634	CEACAMP2 : CEACAM1	<NA> : ENSG00000079385	1824 : 1814	<NA> : 109770	<NA> : P13688	<NA> : CEAM1
19	1092 : 1084	CEACAMP3 : CEACAM3	<NA> : ENSG00000170956	1825 : 1815	<NA> : 609142	<NA> : P40198	<NA> : CEAM3
19	1093 : 634	CEACAMP4 : CEACAM1	<NA> : ENSG00000079385	1826 : 1814	<NA> : 109770	<NA> : P13688	<NA> : CEAM1
19	1094 : 1088	CEACAMP6 : CEACAM8	<NA> : ENSG00000124469	1828 : 1820	<NA> : 615747	<NA> : P31997	<NA> : CEAM8
19	1096 : 1088	CEACAMP8 : CEACAM8	<NA> : ENSG00000124469	1830 : 1820	<NA> : 615747	<NA> : P31997	<NA> : CEAM8
19	1097 : 5678	CEACAMP9 : PSG9	ENSG00000230529 : ENSG00000183668	1831 : 9526	<NA> : 176398	<NA> : Q00887	<NA> : PSG9
19	1098 : 5678	CEACAMP10 : PSG9	<NA> : ENSG00000183668	1822 : 9526	<NA> : 176398	<NA> : Q00887	<NA> : PSG9
16	1157 : 1152	CKBP1 : CKB	<NA> : ENSG00000166165	1993 : 1991	<NA> : 123280	<NA> : P12277	<NA> : KCRB
7	1197 : 1196	CLK2P1 : CLK2	<NA> : ENSG00000176444	2070 : 2069	<NA> : 602989	<NA> : P49760	<NA> : CLK2
6	1204 : 1207	CLNS1AP1 : CLNS1A	ENSG00000213335 : ENSG00000074201	2081 : 2080	<NA> : 602158	<NA> : P54105	<NA> : ICLN
4	1330 : 1329	COX5BP1 : COX5B	<NA> : ENSG00000135940	2270 : 2269	<NA> : 123866	<NA> : P10606	<NA> : COX5B
6	1331 : 1329	COX5BP2 : COX5B	ENSG00000213111 : ENSG00000135940	2271 : 2269	<NA> : 123866	<NA> : P10606	<NA> : COX5B
7	1332 : 1329	COX5BP3 : COX5B	<NA> : ENSG00000135940	2272 : 2269	<NA> : 123866	<NA> : P10606	<NA> : COX5B
11	1333 : 1329	COX5BP4 : COX5B	<NA> : ENSG00000135940	2273 : 2269	<NA> : 123866	<NA> : P10606	<NA> : COX5B
22	1336 : 1329	COX5BP7 : COX5B	<NA> : ENSG00000135940	2276 : 2269	<NA> : 123866	<NA> : P10606	<NA> : COX5B
1	1338 : 1337	COX6A1P1 : COX6A1	<NA> : ENSG00000111775	2278 : 2277	<NA> : 602072	<NA> : P12074	<NA> : CX6A1
17	1342 : 1340	COX6B1P2 : COX6B1	<NA> : ENSG00000126267	2282 : 2280	<NA> : 124089	<NA> : P14854	<NA> : CX6B1
22	1343 : 1340	COX6B1P3 : COX6B1	<NA> : ENSG00000126267	2283 : 2280	<NA> : 124089	<NA> : P14854	<NA> : CX6B1
4	1348 : 1347	COX7A2P2 : COX7A2	<NA> : ENSG00000112695	2290 : 2288	<NA> : 123996	<NA> : P14406	<NA> : CX7A2
22	1416 : 1415	CRYBB2P1 : CRYBB2	ENSG00000291087 : ENSG00000244752	2399 : 2398	<NA> : 123620	<NA> : P43320	<NA> : CRBB2
2	1423 : 1421	CRYGFP : CRYGD	<NA> : ENSG00000118231	2413 : 2411	<NA> : 123690	<NA> : P07320	<NA> : CRGD
2	1424 : 1421	CRYGGP : CRYGD	ENSG00000223710 : ENSG00000118231	2414 : 2411	<NA> : 123690	<NA> : P07320	<NA> : CRGD
7	1430 : 1429	CRYZP1 : CRYZ	<NA> : ENSG00000116791	2421 : 2419	<NA> : 123691	<NA> : Q08257	<NA> : QOR
3	1467 : 1466	CSRP2P1 : CSRP2	<NA> : ENSG00000175183	2471 : 2470	<NA> : 601871	<NA> : Q16527	<NA> : CSRP2
20	1480 : 1472	CSTP1 : CST4	ENSG00000228476 : ENSG00000101441	2486 : 2476	<NA> : 123857	<NA> : P01036	<NA> : CYTS
20	1481 : 1469	CSTP2 : CST1	ENSG00000277975 : ENSG00000170373	2487 : 2473	<NA> : 123855	<NA> : P01037	<NA> : CYTN
5	1498 : 1495	CTNNA1P1 : CTNNA1	<NA> : ENSG00000044115	2513 : 2509	<NA> : 116805	<NA> : P35221	<NA> : CTNA1
10	1517 : 1514	CTSLP2 : CTSL	<NA> : ENSG00000135047	2540 : 2537	<NA> : 116880	<NA> : P07711	<NA> : CATL1
9	1518 : 1514	CTSLP8 : CTSL	<NA> : ENSG00000135047	39084 : 2537	<NA> : 116880	<NA> : P07711	<NA> : CATL1
14	1531 : 1528	CYB5AP3 : CYB5A	<NA> : ENSG00000166347	2574 : 2570	<NA> : 613218	<NA> : P00167	<NA> : CYB5
20	1532 : 1528	CYB5AP4 : CYB5A	<NA> : ENSG00000166347	2575 : 2570	<NA> : 613218	<NA> : P00167	<NA> : CYB5
19	1550 : 1549	CYP2A7P1 : CYP2A7	ENSG00000213908 : ENSG00000198077	2612 : 2611	<NA> : 608054	<NA> : P20853	<NA> : CP2A7
22	1566 : 1565	CYP2D7BP : CYP2D6	<NA> : ENSG00000100197	<NA> : 2625	<NA> : 124030	<NA> : P10635	<NA> : CP2D6
22	1568 : 1565	CYP2D8P : CYP2D6	ENSG00000226450 : ENSG00000100197	2628 : 2625	<NA> : 124030	<NA> : P10635	<NA> : CP2D6
7	1578 : 1577	CYP3A51P : CYP3A5	ENSG00000282277 : ENSG00000106258	42418 : 2638	<NA> : 605325	<NA> : P20815	<NA> : CP3A5
6	1590 : 1589	CYP21A1P : CYP21A2	ENSG00000290788 : ENSG00000231852	2599 : 2600	<NA> : 613815	<NA> : P08686	<NA> : CP21A
16	1596 : 8749	ADAM3B : ADAM18	ENSG00000260089 : ENSG00000168619	210 : 196	<NA> : 619495	<NA> : Q9Y3Q7	<NA> : ADA18
5	1623 : 1622	DBIP2 : DBI	<NA> : ENSG00000155368	2691 : 2690	<NA> : 125950	<NA> : P07108	<NA> : ACBP
6	1624 : 1622	DBIP1 : DBI	<NA> : ENSG00000155368	2692 : 2690	<NA> : 125950	<NA> : P07108	<NA> : ACBP
12	1648 : 1647	GADD45AP1 : GADD45A	<NA> : ENSG00000116717	2725 : 4095	<NA> : 126335	<NA> : P24522	<NA> : GA45A
13	1661 : 1660	DHX9P1 : DHX9	<NA> : ENSG00000135829	2751 : 2750	<NA> : 603115	<NA> : Q08211	<NA> : DHX9
2	1720 : 1719	DHFRP3 : DHFR	<NA> : ENSG00000228716	52354 : 2861	<NA> : 126060	<NA> : P00374	<NA> : DYR
1	1744 : 1743	DLSTP1 : DLST	<NA> : ENSG00000119689	2912 : 2911	<NA> : 126063	<NA> : P36957	<NA> : ODO2
2	1817 : 1816	DRD5P1 : DRD5	<NA> : ENSG00000169676	3027 : 3026	<NA> : 126453	<NA> : P21918	<NA> : DRD5
1	1818 : 1816	DRD5P2 : DRD5	<NA> : ENSG00000169676	3028 : 3026	<NA> : 126453	<NA> : P21918	<NA> : DRD5
17	1872 : 1871	E2F3P1 : E2F3	<NA> : ENSG00000112242	3116 : 3115	<NA> : 600427	<NA> : O00716	<NA> : E2F3
17	1918 : 1915	EEF1A1P43 : EEF1A1	<NA> : ENSG00000156508	3193 : 3189	<NA> : 130590	<NA> : P68104	<NA> : EF1A1
