chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID
19	4207 : 100271849	BORCS8-MEF2B : MEF2B	ENSG00000213999 : ENSG00000213999	39979 : 6995	<NA> : 600661	A0A024R7N0 : A0A024R7K5	A0A024R7N0 : A0A024R7K5
19	4207 : 729991	BORCS8-MEF2B : BORCS8	ENSG00000213999 : ENSG00000254901	39979 : 37247	<NA> : 616601	A0A024R7N0 : Q96FH0	A0A024R7N0 : BORC8
15	8681 : 100137047	JMJD7-PLA2G4B : JMJD7	ENSG00000168970 : ENSG00000243789	34449 : 34397		<NA> : P0C870	<NA> : JMJD7
15	8681 : 100137049	JMJD7-PLA2G4B : PLA2G4B	ENSG00000168970 : ENSG00000243708	34449 : 9036	<NA> : 606088		
22	23783 : 107080639	ANKRD62P1-PARP4P3 : ANKRD62P1	<NA> : ENSG00000259271	42393 : 42363			
22	23783 : 107133524	ANKRD62P1-PARP4P3 : PARP4P3	<NA> : ENSG00000249263	42393 : 274			
9	57653 : 100499483	SUGT1P4-STRA6LP-CCDC180 : CCDC180	ENSG00000255036 : ENSG00000197816	53835 : 29303		<NA> : Q9P1Z9	<NA> : CC180
9	57653 : 100499484	SUGT1P4-STRA6LP-CCDC180 : SUGT1P4-STRA6LP	ENSG00000255036 : ENSG00000254876	53835 : 53834			
15	145781 : 100820829	GCOM1 : MYZAP	ENSG00000137878 : ENSG00000263155	26424 : 43444	<NA> : 614071	H8Y6P7 : A0A024R5W4	H8Y6P7 : A0A024R5W4
15	145781 : 81488	GCOM1 : POLR2M	ENSG00000137878 : ENSG00000255529	26424 : 14862	<NA> : 606485	H8Y6P7 : Q6EEV4	H8Y6P7 : GL1AD
8	157542 : 50626	LOC84773-CYHR1 : ZFTRAF1	ENSG00000187954 : ENSG00000187954	<NA> : 17806	<NA> : 616635	<NA> : P0DTL6	<NA> : ZTRF1
8	157542 : 84773	LOC84773-CYHR1 : TMEM276	ENSG00000187954 : ENSG00000187954	<NA> : 56235			
6	202658 : 56658	TRIM39-RPP21 : TRIM39	ENSG00000248167 : ENSG00000204599	38845 : 10065	<NA> : 605700	A0A096LP39 : Q9HCM9	A0A096LP39 : TRI39
6	202658 : 79897	TRIM39-RPP21 : RPP21	ENSG00000248167 : ENSG00000241370	38845 : 21300	<NA> : 612524	A0A096LP39 : Q9H633	A0A096LP39 : RPP21
16	283970 : 109729168	PDXDC2P-NPIPB14P : NPIPB14P	ENSG00000196696 : ENSG00000226232	<NA> : 41990			
16	283970 : 109731405	PDXDC2P-NPIPB14P : PDXDC2P	ENSG00000196696 : ENSG00000255185	<NA> : 27559			
2	286749 : 11036	STON1-GTF2A1L : GTF2A1L	ENSG00000068781 : ENSG00000242441	30651 : 30727	<NA> : 605358	Q3MIM1 : Q9UNN4	Q3MIM1 : TF2AY
2	286749 : 11037	STON1-GTF2A1L : STON1	ENSG00000068781 : ENSG00000243244	30651 : 17003	<NA> : 605357	Q3MIM1 : B2RB25	Q3MIM1 : B2RB25
