chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID
3	95 : 25864	ACY1 : ABHD14A	ENSG00000243989 : ENSG00000248487	177 : 24538	104620 : 618771	Q03154 : Q9BUJ0	ACY1 : ABHEA
22	135 : 23384	ADORA2A : SPECC1L	ENSG00000128271 : ENSG00000100014	263 : 29022	102776 : 614140	P29274 : Q69YQ0	AA2AR : CYTSA
9	203 : 27090	AK1 : ST6GALNAC4	ENSG00000106992 : ENSG00000136840	361 : 17846	103000 : 606378	P00568 : Q9H4F1	KAD1 : SIA7D
9	203 : 30815	AK1 : ST6GALNAC6	ENSG00000106992 : ENSG00000160408	361 : 23364	103000 : 610135	P00568 : Q969X2	KAD1 : SIA7F
19	344 : 346	APOC2 : APOC4	ENSG00000234906 : ENSG00000267467	609 : 611	608083 : 600745	P02655 : P55056	APOC2 : APOC4
19	346 : 344	APOC4 : APOC2	ENSG00000267467 : ENSG00000234906	611 : 609	600745 : 608083	P55056 : P02655	APOC4 : APOC2
11	402 : 29907	ARL2 : SNX15	ENSG00000213465 : ENSG00000110025	693 : 14978	601175 : 605964	P36404 : Q9NRS6	ARL2 : SNX15
7	440 : 110440226	ASNS : CCZ1P1	ENSG00000070669 : ENSG00000243554	753 : 55746			
11	486 : 53826	FXYD2 : FXYD6	ENSG00000137731 : ENSG00000137726	4026 : 4030	601814 : 606683	P54710 : Q9H0Q3	ATNG : FXYD6
20	514 : 51012	ATP5F1E : PRELID3B	ENSG00000124172 : ENSG00000101166	838 : 15892		P56381 : Q9Y3B1	ATP5E : PLD3B
6	534 : 7919	ATP6V1G2 : DDX39B	ENSG00000213760 : ENSG00000198563	862 : 13917	606853 : 142560	O95670 : Q13838	VATG2 : DX39B
14	599 : 8106	BCL2L2 : PABPN1	ENSG00000129473 : ENSG00000100836	995 : 8565	601931 : 602279	Q92843 : Q86U42	B2CL2 : PABP2
1	632 : 11243	BGLAP : PMF1	ENSG00000242252 : ENSG00000160783	1043 : 9112	112260 : 609176		
