chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID
3	95 : 100526760	ACY1 : ABHD14A-ACY1	ENSG00000243989 : ENSG00000114786	177 : 38856		Q03154 : B4DNW0	ACY1 : B4DNW0
22	135 : 101730217	ADORA2A : SPECC1L-ADORA2A	ENSG00000128271 : ENSG00000258555	263 : 49185			
9	203 : 123987602	AK1 : ST6GALNAC4-ST6GALNAC6-AK1					
19	344 : 100533990	APOC2 : APOC4-APOC2		609 : 44426			
19	346 : 100533990	APOC4 : APOC4-APOC2		611 : 44426			
11	402 : 100528018	ARL2 : ARL2-SNX15	ENSG00000213465 : ENSG00000273003	693 : 49197			
7	440 : 107986827	ASNS : CZ1P-ASNS					
11	486 : 100533181	FXYD2 : FXYD6-FXYD2	ENSG00000137731 : ENSG00000255245	4026 : 39978		P54710 : A0A087WZ82	ATNG : A0A087WZ82
20	514 : 100533975	ATP5F1E : SLMO2-ATP5E					
6	534 : 100532737	ATP6V1G2 : ATP6V1G2-DDX39B	ENSG00000213760 : ENSG00000254870	862 : 41999			
14	599 : 100529063	BCL2L2 : BCL2L2-PABPN1	ENSG00000129473 : ENSG00000258643	995 : 42959			
1	632 : 100527963	BGLAP : PMF1-BGLAP	ENSG00000242252 : ENSG00000260238	1043 : 42953		P02818 : U3KQ54	OSTCN : U3KQ54
10	648 : 100532731	BMI1 : COMMD3-BMI1	ENSG00000168283 : ENSG00000269897	1066 : 48326		<NA> : R4GMX3	<NA> : R4GMX3
15	701 : 106821730	BUB1B : BUB1B-PAK6	ENSG00000156970 : ENSG00000137843	1149 : 52276			
9	883 : 127739546	KYAT1 : KYAT1-SPOUT1					
17	1018 : 100529145	CDK3 : TEN1-CDK3	ENSG00000250506 : ENSG00000261408	1772 : 44420			
22	1120 : 386593	CHKB : CHKB-CPT1B	ENSG00000100288 : ENSG00000254413	1938 : 41998			
11	1270 : 386607	CNTF : ZFP91-CNTF		2169 : 33441			
1	1325 : 100526739	CORT : CENPS-CORT	ENSG00000241563 : ENSG00000251503	2257 : 38843		O00230 : A0A087WT10	CORT : A0A087WT10
22	1375 : 386593	CPT1B : CHKB-CPT1B	ENSG00000205560 : ENSG00000254413	2329 : 41998			
17	1394 : 104909134	CRHR1 : LINC02210-CRHR1	ENSG00000120088 : ENSG00000263715	2357 : 51483		B3TIK8 : B4DMR5	B3TIK8 : B4DMR5
22	1454 : 102800317	CSNK1E : TPTEP2-CSNK1E	ENSG00000213923 : ENSG00000283900	2453 : 53829		<NA> : B3KRV2	<NA> : B3KRV2
11	1500 : 100528016	CTNND1 : TMX2-CTNND1	ENSG00000198561 : ENSG00000288534	2515 : 41992			
7	1551 : 100861540	CYP3A7 : CYP3A7-CYP3A51P	ENSG00000160870 : ENSG00000282301	2640 : 51504			
7	1578 : 100861540	CYP3A51P : CYP3A7-CYP3A51P	ENSG00000282277 : ENSG00000282301	42418 : 51504			
1	1944 : 125467750	EFNA3 : EFNA4-EFNA3					
1	1945 : 125467744	EFNA4 : ADAM15-EFNA4					
1	1945 : 125467750	EFNA4 : EFNA4-EFNA3					
17	1973 : 100533955	EIF4A1 : SENP3-EIF4A1		3282 : 49182			
13	2073 : 100533467	ERCC5 : BIVM-ERCC5	ENSG00000134899 : ENSG00000270181	3437 : 43690		P28715 : R4GMW8	ERCC5 : R4GMW8
7	2086 : 109504726	ERV3-1 : ERV3-1-ZNF117	ENSG00000213462 : ENSG00000152926				
X	2277 : 100532742	VEGFD : PIR-FIGF					
20	2280 : 100528031	FKBP1A : FKBP1A-SDCBP2		3711 : 41997			
14	2342 : 100529261	FNTB : CHURC1-FNTB	ENSG00000257365 : ENSG00000125954	3785 : 42960		A0A384MEJ5 : B4DL54	A0A384MEJ5 : B4DL54
12	2647 : 100528022	BLOC1S1 : BLOC1S1-RDH5					
9	2790 : 552891	GNG10 : DNAJC25-GNG10	ENSG00000242616 : ENSG00000244115	4402 : 37501		P50151 : A0A024R161	GBG10 : A0A024R161
22	2812 : 100526833	GP1BB : SEPT5-GP1BB	ENSG00000203618 : ENSG00000284874				
6	2978 : 118142757	GUCA1A : LOC118142757	ENSG00000048545 : ENSG00000290147				
X	3188 : 100529097	HNRNPH2 : RPL36A-HNRNPH2	ENSG00000126945 : ENSG00000257529	5042 : 48349			
7	3205 : 100534589	HOXA9 : HOXA10-HOXA9					
7	3206 : 100534589	HOXA10 : HOXA10-HOXA9					
9	3293 : 127748585	HSD17B3 : SLC35D2-HSD17B3					
