chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID
12	2 : 3	A2M : A2MP1	ENSG00000175899 : ENSG00000291190	7 : 8			
8	10 : 11	NAT2 : NATP		7646 : 15			
3	13 : 201651	AADAC : AADACP1	ENSG00000114771 : ENSG00000291076	17 : 50305			
16	16 : 106480683	AARS1 : AARS1P1	ENSG00000090861 : ENSG00000249038	20 : 49894			
16	21 : 342293	ABCA3 : ABCA3P1		33 : 55707			
9	28 : 401913	ABO : LOC401913	ENSG00000175164 : ENSG00000270624				
22	49 : 645529	ACR : ACRP1	ENSG00000100312 : ENSG00000175509	126 : 54745			
22	50 : 100420057	ACO2 : LOC100420057	ENSG00000100412 : ENSG00000225017				
22	50 : 343508	ACO2 : LOC343508					
22	50 : 441996	ACO2 : LOC441996	ENSG00000100412 : ENSG00000235485				
7	60 : 100132223	ACTB : ACTBP16		132 : 56590			
7	60 : 100418883	ACTB : LOC100418883					
7	60 : 100462767	ACTB : ACTBP12	ENSG00000075624 : ENSG00000233125	132 : 150			
7	60 : 389120	ACTB : ACTL11P	ENSG00000075624 : ENSG00000234667	132 : 44626			
7	60 : 390029	ACTB : LOC390029					
7	60 : 402221	ACTB : LOC402221					
7	60 : 446207	ACTB : ACTBP10		132 : 31819			
7	60 : 62	ACTB : ACTBP2		132 : 135			
7	60 : 63	ACTB : ACTBP3		132 : 136			
7	60 : 64	ACTB : ACTBP4		132 : 137			
7	60 : 643307	ACTB : LOC643307	ENSG00000075624 : ENSG00000249878				
7	60 : 643309	ACTB : ACTBP1	ENSG00000075624 : ENSG00000229145	132 : 134			
7	60 : 644220	ACTB : ACTBP11		132 : 33971			
7	60 : 644936	ACTB : LOC644936					
7	60 : 66	ACTB : ACTBP6		132 : 139			
7	60 : 67	ACTB : ACTBP7		132 : 140			
7	60 : 68	ACTB : ACTBP8		132 : 141			
7	60 : 69	ACTB : ACTBP9		132 : 142			
17	71 : 100131291	ACTG1 : ACTG1P21	ENSG00000184009 : ENSG00000232672	144 : 51501			
17	71 : 100131953	ACTG1 : ACTG1P22		144 : 51502			
17	71 : 100418910	ACTG1 : ACTG1P14	ENSG00000184009 : ENSG00000230581	144 : 49751			
17	71 : 100418920	ACTG1 : ACTG1P13		144 : 49058			
17	71 : 100418921	ACTG1 : ACTG1P12	ENSG00000184009 : ENSG00000226642	144 : 44496			
17	71 : 100418924	ACTG1 : ACTG1P18		144 : 51498			
17	71 : 100418951	ACTG1 : ACTG1P15	ENSG00000184009 : ENSG00000259904	144 : 51495			
17	71 : 100418960	ACTG1 : ACTG1P16	ENSG00000184009 : ENSG00000260298	144 : 51496			
17	71 : 148709	ACTG1 : ACTG1P25	ENSG00000184009 : ENSG00000234996	144 : 54872			
17	71 : 283693	ACTG1 : ACTG1P17		144 : 51497			
17	71 : 389976	ACTG1 : ACTBP14	ENSG00000184009 : ENSG00000229001	144 : 45086			
17	71 : 414754	ACTG1 : ACTG1P11		144 : 37651			
17	71 : 442097	ACTG1 : ACTG1P23	ENSG00000184009 : ENSG00000230362	144 : 51503			
17	71 : 644160	ACTG1 : ACTG1P19	ENSG00000184009 : ENSG00000237999	144 : 51499			
17	71 : 644961	ACTG1 : ACTG1P20		144 : 51500			
17	71 : 648740	ACTG1 : ACTG1P4		144 : 149			
17	71 : 73	ACTG1 : ACTG1P1		144 : 146			
17	71 : 74	ACTG1 : ACTG1P2		144 : 147			
17	71 : 75	ACTG1 : ACTG1P3		144 : 148			
17	71 : 78	ACTG1 : ACTG1P6		144 : 151			
17	71 : 79	ACTG1 : ACTG1P7		144 : 152			
17	71 : 80	ACTG1 : ACTG1P8		144 : 153			
17	71 : 82	ACTG1 : ACTG1P9		144 : 154			
17	71 : 83	ACTG1 : ACTG1P10		144 : 155			
2	72 : 391334	ACTG2 : ACTBP15		145 : 55065			
19	81 : 344978	ACTN4 : ACTN4P1	ENSG00000130402 : ENSG00000213493	166 : 44028			
3	95 : 100418959	ACY1 : LOC100418959	ENSG00000243989 : ENSG00000264236				
9	123 : 645965	PLIN2 : LOC645965					
4	128 : 100131810	ADH5 : ADH5P3	ENSG00000197894 : ENSG00000223694	253 : 22991			
4	128 : 100190934	ADH5 : LOC100190934					
4	128 : 115945146	ADH5 : ADH5P5	ENSG00000197894 : ENSG00000234865	253 : 54523			
4	128 : 343296	ADH5 : ADH5P2	ENSG00000197894 : ENSG00000232676	253 : 22976			
4	128 : 642443	ADH5 : ADH5P4		253 : 21377			
17	136 : 137	ADORA2B : ADORA2BP1		264 : 265			
1	142 : 144	PARP1 : PARP1P1	ENSG00000143799 : ENSG00000227105	270 : 275			
1	142 : 145	PARP1 : PARP1P2		270 : 276			
13	143 : 107133524	PARP4 : PARP4P3	ENSG00000102699 : ENSG00000249263	271 : 274			
13	143 : 347613	PARP4 : PARP4P1	ENSG00000102699 : ENSG00000237917	271 : 18500			
13	143 : 645771	PARP4 : PARP4P2	ENSG00000102699 : ENSG00000224976	271 : 37760			
1	159 : 100420061	ADSS2 : LOC100420061					
22	162 : 23781	AP1B1 : AP1B1P2	ENSG00000100280 : ENSG00000232707	554 : 298			
22	162 : 23782	AP1B1 : AP1B1P1	ENSG00000100280 : ENSG00000290475	554 : 297			
17	163 : 100131348	AP2B1 : LOC100131348	ENSG00000006125 : ENSG00000225191				
17	163 : 401602	AP2B1 : AP2B1P1	ENSG00000006125 : ENSG00000234130	563 : 55017			
4	175 : 653268	AGA : AGAP7P		318 : 23465			
4	175 : 728005	AGA : AGAP13P		318 : 23499			
20	191 : 100419714	AHCY : AHCYP6		343 : 44998			
20	191 : 107063538	AHCY : AHCYP8		343 : 45000			
20	191 : 129560	AHCY : AHCYP4	ENSG00000101444 : ENSG00000232992	343 : 44996			
20	191 : 340844	AHCY : AHCYP1		343 : 44993			
20	191 : 391470	AHCY : AHCYP5	ENSG00000101444 : ENSG00000213107	343 : 44997			
20	191 : 392387	AHCY : AHCYP2	ENSG00000101444 : ENSG00000238181	343 : 44994			
20	191 : 402093	AHCY : AHCYP3	ENSG00000101444 : ENSG00000233955	343 : 44995			
20	191 : 645486	AHCY : AHCYP7	ENSG00000101444 : ENSG00000259465	343 : 44999			
7	196 : 100533655	AHR : LOC100533655					
1	204 : 266920	AK2 : AK2P1	ENSG00000004455 : ENSG00000185839	362 : 24037			
1	204 : 339736	AK2 : AK2P2		362 : 33542			
1	205 : 100128705	AK4 : AK4P4		363 : 39067			
1	205 : 100132104	AK4 : AK4P2		363 : 39066			
1	205 : 100526416	AK4 : AK4P5	ENSG00000162433 : ENSG00000217377	363 : 39068			
1	205 : 206	AK4 : AK4P1		363 : 364			
1	205 : 645619	AK4 : AK4P3		363 : 21596			
1	205 : 649288	AK4 : AK4P6		363 : 39069			
3	211 : 100420897	ALAS1 : LOC100420897					
X	215 : 23785	ABCD1 : ABCD1P1		61 : 62			
X	215 : 26957	ABCD1 : ABCD1P4		61 : 65			
X	215 : 26982	ABCD1 : ABCD1P3		61 : 64			
X	215 : 26983	ABCD1 : ABCD1P2	ENSG00000101986 : ENSG00000215151	61 : 63			
X	215 : 642762	ABCD1 : ABCD1P5		61 : 42662			
16	226 : 228	ALDOA : ALDOAP2		414 : 416			
16	226 : 391538	ALDOA : ALDOAP1		414 : 415			
7	231 : 100129769	AKR1B1 : AKR1B1P6		381 : 33498			
7	231 : 126242	AKR1B1 : AKR1B1P7		381 : 33497			
7	231 : 236	AKR1B1 : AKR1B1P2		381 : 425			
7	231 : 390402	AKR1B1 : AKR1B1P4		381 : 423			
7	231 : 390482	AKR1B1 : AKR1B1P5		381 : 20002			
7	231 : 392525	AKR1B1 : AKR1B1P8		381 : 33496			
7	231 : 401982	AKR1B1 : AKR1B1P1	ENSG00000085662 : ENSG00000229991	381 : 420			
7	231 : 729347	AKR1B1 : AKR1B1P3		381 : 422			
17	239 : 243	ALOX12 : ALOX12P1		429 : 431			
17	239 : 245	ALOX12 : ALOX12P2	ENSG00000108839 : ENSG00000291084	429 : 432			
17	246 : 100652883	ALOX15 : ALOX15P1		433 : 13742			
17	246 : 642959	ALOX15 : ALOX15P2	ENSG00000161905 : ENSG00000188101	433 : 39027			
6	262 : 100129761	AMD1 : AMD1P4		457 : 51609			
